# Initial seed: 3456789108
# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged chi_p
2.000000000000000000e+00 5.000000000000000000e+04 6.990171822399376822e+01 4.554479805328037756e-01 4.718878287880945988e-01 0.000000000000000000e+00 5.650052121981141084e+01 1.613841990635209456e+01 6.177451595912211157e-01 -1.154470167684845811e-01 0.000000000000000000e+00 2.925158467577050114e+00 2.000000000000000000e+00 1.000000000000000000e+00 8.600000000000000000e+05 6.039875320719438959e-03
3.000000000000000000e+00 1.280143492029810477e+04 3.702213688683196580e+01 -5.049565451790133516e-04 6.641393232857952800e-01 0.000000000000000000e+00 1.596788751321029487e+01 2.292186839869203041e+01 -1.189272362921143730e-02 -1.912714383954778816e-02 1.426979345033811075e+00 1.677870056697891021e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.400000000000000000e+05 1.901760427068033971e-02
3.000000000000000000e+00 1.753167754271812737e+04 2.039792104363068148e+01 -2.047137945808200077e-02 6.794829458935063293e-01 0.000000000000000000e+00 1.057483485330135231e+01 1.088414072934950383e+01 -9.337977315275018675e-03 -3.251711856309222326e-02 2.661129233290325580e+00 3.030200000000000227e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.300000000000000000e+05 3.982198516578587004e-18
3.000000000000000000e+00 1.124412991381848042e+04 2.971692844110860676e+01 -1.809426875311231087e-01 5.815184849824446278e-01 0.000000000000000000e+00 1.125966821765986126e+01 1.973217626418358250e+01 -2.998617014910265888e-01 -1.607223292288776084e-01 2.384314797570640021e+00 3.037180000000000213e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.500000000000000000e+05 6.880689687680820177e-02
3.000000000000000000e+00 1.619814850156617649e+04 2.916412121102152355e+01 4.406750498826499107e-02 7.334623038769125802e-01 0.000000000000000000e+00 1.601380576584771376e+01 1.481417726516587585e+01 1.151052750458620988e-01 1.972372609656691811e-01 1.018818400975301408e+00 1.436248766948914124e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.600000000000000000e+05 2.209806170944421646e-17
3.000000000000000000e+00 1.549249696765496992e+04 2.263531502308646992e+01 2.660331876786442215e-03 6.948415768438862550e-01 0.000000000000000000e+00 1.243687335834782282e+01 1.140476973942155858e+01 -2.810693861822600309e-02 8.147783132984946775e-02 3.055863340667585693e+00 1.111789511145023779e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05 6.615916227323634380e-02
3.000000000000000000e+00 1.599973881511190302e+04 4.523728340441567752e+01 4.658446169029956674e-01 7.312705700137528408e-01 0.000000000000000000e+00 2.921783259336776695e+01 1.875034690053882258e+01 7.652623038769122976e-01 2.449608305869581740e-02 0.000000000000000000e+00 1.600383459299501876e+00 2.000000000000000000e+00 1.000000000000000000e+00 6.500000000000000000e+05 1.476324268209880733e-02
3.000000000000000000e+00 3.599840283566732978e+04 2.995112294397425146e+01 -1.276708104265899396e-02 6.415181595533597791e-01 0.000000000000000000e+00 1.156018913662632563e+01 1.982329649623134671e+01 -6.584220012230238006e-02 -1.347746419749838720e-02 1.820569689607410391e+00 2.490626081159171612e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.700000000000000000e+05 3.274454932725870404e-02
3.000000000000000000e+00 2.793978491977109661e+04 3.624583587164778464e+01 5.644360019706531201e-02 6.423258870901515927e-01 0.000000000000000000e+00 1.047483823317015528e+01 2.738860981679776074e+01 1.746156660716660369e-01 1.494754692422073372e-01 8.425373030157781162e-01 1.344194450922980621e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.700000000000000000e+05 1.466636250885054171e-01
3.000000000000000000e+00 2.265759561156822383e+04 2.236061967506194392e+01 2.291945360349214450e-02 7.386779807491391514e-01 0.000000000000000000e+00 1.257753199793307886e+01 1.107573943943845229e+01 2.360466516230190492e-01 1.401791287123753948e-01 1.128959714938108982e+00 2.058380373642034300e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.400000000000000000e+05 2.332932311263760383e-01
3.000000000000000000e+00 1.902714021703850813e+04 4.456814409146338818e+01 -7.818390032704562731e-02 6.070802464644448060e-01 0.000000000000000000e+00 1.671200623564062582e+01 2.993748282602341249e+01 8.968709942044541389e-03 -1.330800559820161100e-01 1.692939857131274595e+00 2.716181372651243375e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.600000000000000000e+05 5.492153222220053782e-02
4.000000000000000000e+00 9.415145924683543853e+03 1.970912636769945792e+01 -1.452632699358684110e-01 6.242813291788033014e-01 0.000000000000000000e+00 1.031712525779913214e+01 1.031331157141727495e+01 -1.823128337780977604e-01 -2.286235121326066211e-01 1.919463743142000745e+00 3.086040000000000116e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05 1.562206406633900035e-01
4.000000000000000000e+00 9.187696747466057786e+03 3.226467684064926544e+01 3.651628914110859325e-01 7.376374062311560342e-01 0.000000000000000000e+00 1.971819465137393834e+01 1.448483605810502794e+01 6.330813291788032204e-01 -5.352658167545338436e-04 0.000000000000000000e+00 5.866930792622014890e-01 2.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+05 2.083679914193947334e-04
4.000000000000000000e+00 2.014632546284369164e+04 2.555700476501966634e+01 6.103581855239624543e-02 7.009191111068742153e-01 0.000000000000000000e+00 1.620904702947171216e+01 1.073099806471716100e+01 2.100298855245560092e-01 7.498451403573511143e-02 1.145908580405913479e+00 1.266677002145418784e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.200000000000000000e+05 2.095833999907117939e-01
4.000000000000000000e+00 2.801313807903590714e+04 4.134572701198807465e+01 1.737635490168063304e-02 6.151058733092307218e-01 0.000000000000000000e+00 1.221736943289542054e+01 3.090564902336211262e+01 -1.179531096542925372e-02 8.234354623459429201e-02 5.374708281457805104e-01 1.322451483983961174e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.400000000000000000e+05 7.981729455333320955e-02
4.000000000000000000e+00 2.776755302528803804e+04 2.442610293931982923e+01 -8.835179293461392636e-03 6.822629680034144606e-01 0.000000000000000000e+00 1.334603708990010240e+01 1.236199574058382389e+01 7.830404772020316262e-02 -8.307082782931740628e-02 1.380611364894436921e+00 1.997154939123635398e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.600000000000000000e+05 7.689216987924357705e-02
4.000000000000000000e+00 5.000000000000000000e+04 6.455347359767512216e+01 -3.516830170273916450e-02 6.374551135219889142e-01 0.000000000000000000e+00 4.029929569384601962e+01 2.735757519406877236e+01 -1.028457610363757713e-01 -8.784224940792409453e-02 3.100000000000000089e+00 7.479886313566570522e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.400000000000000000e+05 3.840228013683359004e-02
5.000000000000000000e+00 1.819694744196944157e+04 1.968787349583542934e+01 -2.257829150032916732e-02 6.756796317379163419e-01 0.000000000000000000e+00 1.021141967026796316e+01 1.049435175726438629e+01 2.999928038048785273e-02 -9.391218733868618440e-02 1.453342095187274863e+00 2.106888952019420280e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.700000000000000000e+05 8.073734525031485421e-02
5.000000000000000000e+00 1.953294462040148210e+04 3.517641438880856697e+01 3.908141435125112549e-03 6.920220013540111514e-01 0.000000000000000000e+00 1.945902780490103723e+01 1.758853284936908423e+01 2.676376054374385999e-02 2.225934584314279152e-02 1.236152077350346046e+00 1.637920046655439776e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.800000000000000000e+05 2.527910006701753962e-02
5.000000000000000000e+00 2.382455245352346901e+04 5.050225079423202601e+01 -8.726161529520418472e-03 6.682916782407861689e-01 0.000000000000000000e+00 2.664104007461581247e+01 2.643482746672613359e+01 3.179255548378964735e-02 -1.479383291106305398e-01 1.123769606325217607e+00 1.784473832292454043e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.900000000000000000e+05 1.240147600312972304e-01
5.000000000000000000e+00 1.815349290839345849e+04 3.429960354884415352e+01 3.462236834453016332e-01 7.829198112335588045e-01 0.000000000000000000e+00 1.662216170816178362e+01 1.970146281632396423e+01 -2.142965877199767277e-01 6.888796317379162204e-01 1.854139259770587467e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 4.100000000000000000e+05 1.694388480855949231e-01
5.000000000000000000e+00 1.155356426790200385e+04 4.937350122738746450e+01 -7.279051005455702827e-02 5.647498712838671109e-01 0.000000000000000000e+00 1.539754305215297059e+01 3.603327759796605534e+01 -1.317918883793471330e-01 -8.117669066971383574e-02 2.257516294520137023e+00 2.568115582115011009e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.300000000000000000e+05 4.404291118639432068e-02
5.000000000000000000e+00 1.231115313961839820e+04 2.204782110977361853e+01 -4.064482588552394138e-02 6.411466198337588684e-01 0.000000000000000000e+00 1.049397690512267900e+01 1.261787524124704873e+01 -1.643647889657131322e-01 -1.125559707272737603e-01 1.969983705181160172e+00 1.761343676247169476e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.400000000000000000e+05 1.226864333226944659e-01
5.000000000000000000e+00 2.029493930400700992e+04 3.897362893085645652e+01 -8.534775612093802033e-02 6.544375576578354003e-01 0.000000000000000000e+00 2.334691657013651067e+01 1.752343013360519208e+01 -2.086413252139010244e-01 2.132657434699217203e-03 2.378809014903858099e+00 4.755867229668793161e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+05 1.441578976021567204e-01
5.000000000000000000e+00 2.893403269438660936e+04 5.039778316122966118e+01 4.215271007996070074e-02 6.748696453272460261e-01 0.000000000000000000e+00 2.019771111279059639e+01 3.276232376099617483e+01 4.768475340845073490e-02 5.554453041193552210e-02 1.051055143492873212e+00 2.695270272020190427e-01 1.000000000000000000e+00 1.000000000000000000e+00 6.500000000000000000e+05 2.530651902802700040e-02
5.000000000000000000e+00 1.561609644314215984e+04 2.481921229059152267e+01 -3.374170553170360853e-02 6.396031552535913489e-01 0.000000000000000000e+00 1.535734470280333497e+01 1.067001683954549129e+01 -5.110397868592436027e-02 -1.099348090136422068e-01 2.358001768645530127e+00 1.849098976166349662e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.600000000000000000e+05 6.975773978315812085e-02
5.000000000000000000e+00 1.216424001012386725e+04 4.376883382415256563e+01 3.185119891725824992e-01 7.978668293724260341e-01 0.000000000000000000e+00 2.433027165397864167e+01 2.216476312235792889e+01 1.489598435512188776e-02 6.605466198337586192e-01 1.087660945315717997e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 6.800000000000000000e+05 6.939405758534665514e-02
5.000000000000000000e+00 2.407946040800468472e+04 6.511226023122908657e+01 4.757143387400165624e-01 8.330250097565370382e-01 0.000000000000000000e+00 1.699004585650920873e+01 5.093385883595329489e+01 -1.439772768102461353e-01 6.742916782407859522e-01 2.551057093660521691e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 7.700000000000000000e+05 2.317774618164335568e-02
5.000000000000000000e+00 3.869188550045905868e+04 3.522766841630009083e+01 -7.377275132502597588e-02 6.500352237369040331e-01 0.000000000000000000e+00 2.043527756116362326e+01 1.652886786920242912e+01 -9.066816698376184425e-02 -1.031950106892964292e-01 2.392337839540305655e+00 2.503735259310404082e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.700000000000000000e+05 6.175348346323890347e-02
5.000000000000000000e+00 5.000000000000000000e+04 4.628862270468598439e+01 -6.793283852572691572e-02 4.905579342116198616e-01 0.000000000000000000e+00 1.168109345591926207e+01 3.632481984574233991e+01 -3.963577943008627508e-02 -1.094504129002253356e-01 7.795815105348643526e-01 2.697698435064004308e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.600000000000000000e+05 4.700452257382564669e-02
5.000000000000000000e+00 1.810389917522075120e+04 3.554051873917010340e+01 3.931957207818397304e-01 6.171928157201361786e-01 0.000000000000000000e+00 2.499105703798154110e+01 1.240342251388973338e+01 6.620031552535911024e-01 -1.489299448996672381e-01 0.000000000000000000e+00 3.058120000000000172e+00 2.000000000000000000e+00 1.000000000000000000e+00 9.700000000000000000e+05 5.597287028889645286e-03
